comp_name;inn;ogrn;full_name;short_name;addr;form;date;dividents;audit_name;audit_inn;dir_q
"ОАО ""Электростальхлеб""";5053001688;1025007108;"Открытое акционерное общество ""Электростальхлеб""";"ОАО ""Электростальхлеб""";город Электросталь, область Московская, улица Красная;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;Электростальхлеб;5031056355;Вопрос поднимался
ООО «СФО Локосервис финанс»;7743167690;1167746751;"Общество с ограниченной ответственностью ""Специализированное финансовое общество « Локосервис финанс""";"ООО ""СФО Локосервис финанс""";индекс 125171, город Москва, шоссе Ленинградское, дом 16А, строение None;очное;02/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
ПАО «Россети Юг»;6164266561;1076164009;"Публичное акционерное общество ""Россети Юг""";"ПАО ""Россети Юг""";город Ростов-на-Дону;заочное голосование;02/06/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
АО «УПТК «Чебоксарское»;2128001795;1022101136;"Публичное акционерное общество ""Управление производственно - технологической комплектации « Чебоксарское""";"ПАО ""УПТК « Чебоксарское""";индекс 428016, республика Чувашская, город Чебоксары, проезд Лапсарский, дом 65;очное;28/05/2020;Принято решение не выплачивать дивиденды;Аудит – ДАНКО;;Вопрос поднимался
"ПАО ""Колымаэнерго""";4908000718;1024900959;"Публичное акционерное общество ""Колымаэнерго""";"ПАО ""Колымаэнерго""";город Магадан;заочное голосование;02/06/2020;Принято решение не выплачивать дивиденды;РСМ Русь;;Вопрос поднимался
"АО ""СТЗ""";6626002291;1026601606;"Публичное акционерное общество ""Северский трубный завод""";"ПАО ""СТЗ""";область Свердловская, город Полевской, улица Вершинина, дом 7;собрание;01/06/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ОАО ""Искож""";6825002850;1026801009;"Открытое акционерное общество ""Искож""";"ОАО ""Искож""";индекс 393190, область Тамбовская, город Котовск, улица Октябрьская, дом 1-а;;29/05/2020;Принято решение выплачивать дивиденды;Национальное Агентство Аудита;;Вопрос не поднимался
"АО ""СинТЗ""";6612000551;1026600931;"Публичное акционерное общество ""Синарский трубный завод""";"ПАО ""СинТЗ""";индекс 623401, область Свердловская, город Каменск-Уральский, улица Заводской проезд, дом 1;собрание;01/06/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"АО ""Радий""";7409002190;1027400728;"Акционерное общество ""Радий""";"АО ""Радий""";индекс 456830, область Челябинская, город Касли, улица Советская;заочное;28/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""Строймехсервис""";7716009335;1027700343;"Акционерное общество ""Строймехсервис""";"АО ""Строймехсервис""";индекс 129329, город Москва, улица Кольская, дом 12;заочное голосование;01/06/2020;Принято решение выплачивать дивиденды;Аудитор;;Вопрос поднимался
"ПАО ""Ремстрой""";1327039199;1021301062;"Публичное акционерное общество ""Ремстрой""";"ПАО ""Ремстрой""";индекс 430030, город Саранск, улица Строительная, дом 8;собрание;01/06/2020;Принято решение выплачивать дивиденды;Ремстрой;;Вопрос не поднимался
"ЗАО ""Артель""";5262004530;1025203767;"Закрытое Акционерное Общество ""Артель""";"ЗАО ""Артель""";индекс 603098, страна Россия, город Нижний Новгород, улица Пушкина, дом 34 б;очное;02/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Донкомбанк""";6164102186;1026100001;"Публичное Акционерное Общество ""Донской коммерческий банк""";"ПАО ""Донкомбанк""";индекс 344068, город Ростов-на-Дону, проспект Михаила Нагибина;заочное голосование;02/06/2020;Принято решение не выплачивать дивиденды;Донкомбанк;;Вопрос поднимался
"ПАО ""ММК""";7414003633;1027402166;"Публичное акционерное общество ""Магнитогорский металлургический комбинат""";ПАО “ ММК ”;страна Россия, индекс 455000, область Челябинская, город Магнитогорск, улица Кирова;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;ММК;;Вопрос не поднимался
"АО ""Мособлстрой № 5""";5005001110;1025000922;"Акционерное общество ""Мособлстрой № 5""";"АО ""Мособлстрой № 5""";индекс 140208, область Московская, город Воскресенск, улица Быковского, дом 2;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""БЕРТРЕМ""";7705199677;1037700061;"Публичное акционерное общество ""БЕРТРЕМ""";"ПАО ""БЕРТРЕМ""";город Москва;собрание;27/05/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""Консервный завод ""Саранский""";1326026310;1021300976;"Акционерное общество ""Консервный завод"" Саранский """;"АО ""Консервный завод"" Саранский """;индекс 430003, республика Мордовия, город Саранск, проспект Ленина;очное;29/05/2020;Принято решение не выплачивать дивиденды;Силаудит;;Вопрос поднимался
"ПАО ""Банк ""Екатеринбург""";6608005109;1026600000;"Публичное акционерное общество ""Екатеринбургский муниципальный банк""";"ПАО ""Банк"" Екатеринбург """;город Екатеринбург, улица 8 Марта;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ХК ""НЭВЗ-Союз"" в форме ПАО";5402103510;1025401010;"Холдинговая компания ""Новосибирский электровакуумный завод - Союз"" в форме публичного акционерного общества";"ХК ""НЭВЗ - Союз"" в форме ПАО";индекс 630049, город Новосибирск;заочное голосование;29/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""ДЭК""";2723088770;1072721001;"Публичное акционерное общество ""Дальневосточная энергетическая компания""";"ПАО ""ДЭК""";город Владивосток;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;РСМ Русь;;Вопрос поднимался
ПАО Банк ЗЕНИТ;7729405872;1027739056;Банк ЗЕНИТ ( публичное акционерное общество );ПАО Банк ЗЕНИТ;город Москва;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды; ПАО Банк ЗЕНИТ по РСБУ и МСФО на период до проведения следующего Годового Общего собрания акционеров Банка. 2.7. Дата составления и номер протокола общего собрания участников (акционеров) эмитента: 01 июня 2020 г., Протокол № 3. 2.8. Идентификационные признаки акций, владельцы которых имеют право на участие в общем собрании акционеров эмитента: акции обыкновенные именные бездокументарные. Государственный регистрационный номер выпуска ценных бумаг и дата государственной регистрации: 10103255B, 30 декабря 1999 года, международный код (номер) идентификации ценных бумаг (ISIN) RU000A0JPCR3. 3. Подпись 3.1. Председатель Правления ПАО Банк ЗЕНИТ А.С. Тищенко 3.2. Дата: 01 июня 2020 года М.П;;Вопрос не поднимался
"ПАО ""Камчатскэнерго""";4100000668;1024101024;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";"ПАО ""Камчатскэнерго""";город Петропавловск-Камчатский;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""ТМК""";7710373095;1027739217;"Публичное акционерное общество ""Трубная Металлургическая Компания""";"ПАО ""ТМК""";город Москва, дом 40, строение None;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Россети""";7728662669;1087760000;"Публичное акционерное общество ""Российские сети""";"ПАО ""Россети""";страна Россия, город Москва;заочное голосование;01/06/2020;Принято решение выплачивать дивиденды;Об акционерных обществах;;Вопрос поднимался
"ПАО ""Белуга Групп""";7705634425;1047796969;"Публичное акционерное общество ""Белуга Групп""";"ПАО ""Белуга Групп""";город Звенигород;заочное голосование;01/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
ОАО СМП;2901008432;1022900513;"Открытое акционерное общество ""Северное морское пароходство""";ОАО СМП;страна Россия, город Архангельск, набережная Северной Двины, дом 36;очное;29/05/2020;Принято решение не выплачивать дивиденды;Проф-Аудит;;Вопрос поднимался
ПАО «Россети Северо-Запад»;7802312751;1047855175;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Северо - Запада""";"ПАО ""МРСК Северо - Запада""";страна Россия, None Санкт-Петербург;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ПАО ""Россети Московский регион""";5036065113;1057746555;"Публичное акционерное общество ""Московская объединенная электросетевая компания""";"ПАО ""Московская объединенная электросетевая компания"" ; ПАО ""МОЭСК""";город Москва;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Московская объединенная электросетевая компания;;Вопрос поднимался
"АО ""Производственное  объединение ""Ленстройматериалы""";4704007909;1024700877;"Публичное акционерное общество ""Производственное объединение"" Ленстройматериалы """;"ПАО ""Производственное объединение"" Ленстройматериалы """;индекс 191186, улица Миллионная, дом 8;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;Аудиторы Северной Столицы;7802087954;Вопрос поднимался
"АО ""МаКоПр""";3129004208;1023101332;"Публичное акционерное общество ""Макаронно - кондитерское производство""";"ПАО ""МаКоПр""";Россия;заочное голосование;21/05/2020;Принято решение выплачивать дивиденды;Арт Аудит;3123171675;Вопрос поднимался
"АО ""Полет""";3731001750;1023700537;"Акционерное общество ""Полет"" Ивановский парашютный завод";"АО ""Полет""";индекс 153011, страна Россия, город Иваново, улица Парижской Коммуны, дом 86;очное;01/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""СЗЭУК""";7841322263;1057812496;"Акционерное общество ""Северо - Западная энергетическая управляющая компания""";"АО ""СЗЭУК""";индекс 191167, город Санкт-Петербург, площадь Александра Невского, дом 2;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"АО ""Метмаш""";6632003695;1026601814;"Метмаш """;"ОАО ""Метмаш""";область Свердловская, город Серов, улица Агломератчиков;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;Метмаш;;Вопрос поднимался
"ПАО ""ТЕНЗОР""";5010003803;1025001416;"Акционерное общество ""Приборный завод"" ТЕНЗОР """;"АО ""ТЕНЗОР""";страна Россия, область Московская, город Дубна, улица Приборостроителей, дом 2;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды;ЗА;;Вопрос поднимался
"ПАО ""Пермэнергосбыт""";5904123809;1055902200;"Публичное акционерное общество ""Пермская энергосбытовая компания""";"ПАО ""Пермэнергосбыт""";край Пермский, город Пермь;собрание;01/06/2020;Принято решение выплачивать дивиденды;Центр бизнес-консалтинга и аудита;;Вопрос поднимался
"ОАО ""ЯПАТП-3""";7607000163;1027600984;"Открытое акционерное общество ""Ярославское пассажирское автотранспортное предприятие № 3""";"ОАО ""ЯПАТП - 3""";индекс 150066, город Ярославль, улица Пожарского, дом 19;собрание;29/05/2020;Принято решение не выплачивать дивиденды;Консультант;;Вопрос поднимался
ПАО «ПДСК»;5907001710;1025901508;"Открытое акционерное общество ""Пермский домостроительный комбинат""";"ОАО ""ПДСК""";индекс 614026, город Пермь, улица Дачная;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды;Аудиторская - правовая компания «Актив;5903030380;Вопрос не поднимался
"ПАО ""Надеждинский металлургический завод""";6632004667;1026601814;"Публичное акционерное общество ""Надеждинский металлургический завод""";"ПАО ""Надеждинский металлургический завод""";индекс 624992, область Свердловская, город Серов, улица Агломератчиков;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;Надеждинский металлургический завод;;Вопрос поднимался
"ПАО ""Россети Сибирь""";2460069527;1052460054;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Сибири""";"ПАО ""МРСК Сибири""";город Красноярск;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ОАО ""Заряд""";5321029586;1025300802;"Открытое Акционерное Общество ""Заряд""";"ОАО ""Заряд""";индекс 173003, страна Россия, город Великий Новгород, переулок Базовый, дом 17;собрание;01/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""Мурманская ГРЭ""";5101100360;1025100507;"Акционерное общество ""Мурманская геологоразведочная экспедиция""";"АО ""Мурманская ГРЭ""";индекс 184209, город Апатиты, область Мурманской, улица Ферсмана, дом 26;заочное голосование;01/06/2020;Принято решение выплачивать дивиденды;АФК «АКАР;;Вопрос поднимался
ОАО «УМиТАТ»;7734021590;1027700133;"Открытое акционерное общество ""Управление механизации и технологического автотранспорта""";"ОАО ""УМиТАТ""";индекс 123458, город Москва, улица маршала Прошлякова, дом 20, строение None;собрание;01/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"ПАО ""Россети Ленэнерго""";7803002209;1027809170;"Публичное акционерное общество энергетики и электрификации ""Ленэнерго""";"ПАО ""Ленэнерго""";город Санкт-Петербург, индекс 196247, город Санкт-Петербург, площадь Конституции, дом 1;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ПАО ""Акрон""";5321029508;1025300786;"Публичное акционерное общество ""Акрон""";"ПАО ""Акрон""";индекс 173012, город Великий Новгород;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Акрон;;Вопрос поднимался
"АО ""Богучанская ГЭС""";2420002597;1022400828;"Публичное акционерное общество ""Богучанская ГЭС""";"ПАО ""Богучанская ГЭС""";индекс 663491, край Красноярский, город Кодинск, улица Промышленная;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""Дальэлектрон""";2702010959;1022701407;"Дальневосточное открытое акционерное общество по производству изделий электронной техники ""Дальэлектрон""";"ОАО ""Дальэлектрон""";индекс 680033, город Хабаровск, улица Тихоокеанская;собрание;01/06/2020;Принято решение не выплачивать дивиденды;" общества на 2020 год ООО ""Аудиторскую компанию ""Эдип"""". 2.8. Дата составления протокола общего собрания: начало составления протокола 28.05.2020, окончания составления протокола – 01.06.2020 г., после получения протокола счетной комиссии протокол № 28 3. Подпись 3.1.Управляющий _____________________ А.В.Михальченко 3.2. Дата: ""01"" июня 2020 г. М.П";;Вопрос поднимался
"ОАО ""Обьгаз""";8601014059;1028600507;"Открытое акционерное общество ""Обьгаз""";"ОАО ""Обьгаз""";индекс 628007, город Ханты-Мансийск, улица Мира;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""НЗСВ""";5321030214;1025300785;Публичноее акционерное общество “ Новгородский завод стекловолокна ”;ПАО “ НЗСВ ”;страна Россия, город Великий Новгород, улица Восточная, дом 13;очное;01/06/2020;Принято решение выплачивать дивиденды;Новаудит;;Вопрос поднимался
"ОАО ""Коммунэнерго""";4346011123;1024301316;"Открытое акционерное общество ""Коммунэнерго""";"ОАО ""Коммунэнерго""";индекс 610035, область Кировская, город Киров, проезд Солнечный;очное;01/06/2020;Принято решение выплачивать дивиденды;КГ «Аюдар;;Вопрос поднимался
"ОАО Э и Э ""Ростовэнергоремонт""";6163009522;1026103159;"Открытое акционерное общество энергетики и электрификации ""Ростовэнергоремонт""";"ОАО Э и Э ""Ростовэнергоремонт""";улица Станиславского, город Ростов-на-Дону, индекс 344007;очное;01/06/2020;Принято решение выплачивать дивиденды;Юг Гарания Аудит;;Вопрос поднимался
"ПАО ""Комбинат ""Магнезит""";7417001747;1027401062;"Публичное акционерное общество по производству огнеупоров ""Комбинат"" Магнезит """;"ПАО ""Комбинат"" Магнезит """;индекс 456910, область Челябинская, город Сатка;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""СИФП ""Главный""";2466020655;1022402650;"Публичное акционерное общество ""СИФП"" Главный """;"ПАО ""СИФП"" Главный """;страна РФ, город Красноярск, улица Деповская, офис 8-19;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Консультационно-внедренческое предприятие «Сибаудит инициатива;;Вопрос не поднимался
"ПАО ""Варьеганнефть""";8609002880;1028601465;"Публичное акционерное общество ""Варьеганнефть""";"ПАО ""Варьеганнефть""";город Радужный;заочное голосование;01/06/2020;Принято решение не выплачивать дивиденды;Аудиторская компания. Городской центр экспертиз;;Вопрос не поднимался
ПАО «Дагестанская энергосбытовая компания»;0541031172;1050562009;"Публичное акционерное общество ""Дагестанская энергосбытовая компания""";"ПАО ""Дагестанская энергосбытовая компания""";республика Дагестан, город Махачкала;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;7709383532;Вопрос поднимался
"ПАО ""Россети Северный Кавказ""";2632082033;1062632029;"Публичное акционерное общество ""Россети Северный Кавказ""";"ПАО ""Россети Северный Кавказ""";город Пятигорск;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ООО ""Каркаде""";3905019765;1023900586;"Общество с ограниченной ответственностью ""Каркаде""";"ООО ""Каркаде""";индекс 236000, страна Россия, город Калининград, проспект Мира, дом 81;очное;29/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ООО ""Городской супермаркет""";7705466989;1027705012;"Общество с ограниченной ответственностью ""Городской супермаркет""";"ООО ""Городской супермаркет""";индекс 113054, город Москва, улица Валовая, дом 8/18;очное;28/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Россети Волга""";6450925977;1076450006;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Волги""";"ПАО ""МРСК Волги""";город Саратов;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ПАО ""ТЗА""";0269008334;1020202210;"Публичное Акционерное Общество ""Туймазинский завод автобетоновозов""";"ПАО ""ТЗА""";индекс 452755, страна Россия, республика Башкортостан, город Туймазы;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО торговая фирма ""Ясногорская""";7136001639;1027101847;"Акционерное общество торговая фирма ""Ясногорская""";"АО торговая фирма ""Ясногорская""";индекс 301030, область Тульская, город Ясногорск, улица Советская, дом 4;очное;29/05/2020;Принято решение выплачивать дивиденды;Центр финансовых консультаций;;Вопрос поднимался
ПАО «Сегежа Групп»;7703803710;5137746232;"Общество с ограниченной ответственностью ""Группа компаний « Сегежа""";"ООО ""ГК « Сегежа""";город Москва;очное;29/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Россети Кубань""";2309001660;1022301427;Публичное акционерное общество энергетики и электрификации Кубани;"ПАО ""Кубаньэнерго""";страна Россия, город Краснодар, улица Ставропольская;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ПАО ""ТРК""";7017114672;1057000127;"Публичное акционерное общество ""Томская распределительная компания""";"ПАО ""ТРК""";город Томск;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ПАО ""НЛМК""";4823006703;1024800823;Публичное акционерное общество “ Новолипецкий металлургический комбинат ”;ПАО “ НЛМК ”;страна Россия, город Липецк, площадь Металлургов;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""Электроизолит";5042000530;1025005324;"Публичное акционерное общество ""Электроизолит""";"ПАО "" Электроизолит";индекс 141371, область Московская, город Хотьково, улица Заводская, дом 1;очное;29/05/2020;Принято решение не выплачивать дивиденды;Электроизолит;7750005482;Вопрос поднимался
"ПАО ""Россети Центр и Приволжье""";5260200603;1075260020;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра и Приволжья""";"ПАО ""МРСК Центра и Приволжья""";страна Россия, город Нижний Новгород;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;7709383532;Вопрос поднимался
ПАО «Россети Центр»;6901067107;1046900099;"Публичное акционерное общество ""Межрегиональная распределительная сетевая компания Центра""";"ПАО ""МРСК Центра""";страна Россия, город Москва;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"АО ШВЕЙНАЯ ФАБРИКА ""ИШИМСКАЯ""";7205009367;1027201229;"АКЦИОНЕРНОЕ ОБЩЕСТВО ШВЕЙНАЯ ФАБРИКА ""ИШИМСКАЯ""";"АО ШВЕЙНАЯ ФАБРИКА ""ИШИМСКАЯ""";индекс 627750, область Тюменская, город Ишим, улица Литвинова;заочное голосование;26/05/2020;Вопрос не поднимался;Ишимская;;Вопрос не поднимался
"АО ""НИИ ""Элпа""";7735064772;1027739098;"Акционерное общество ""Научно - исследовательский институт"" Элпа ""с опытным производством""";"АО ""НИИ"" Элпа """;индекс 124460, город Москва, проспект Панфиловский, дом 10;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;НИИ «Элпа;;Вопрос поднимался
"ОАО ""МРСК Урала""";6671163413;1056604000;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""";"ОАО ""МРСК Урала""";индекс 620026, город Екатеринбург, улица Мамина-Сибиряка, дом 140;заочное голосование;29/05/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"ОАО ""КРТ"", ОАО ""Курскрезинотехника""";4632001454;1024600944;"Открытое акционерное общество ""Курскрезинотехника""";"ОАО ""КРТ"" , ОАО ""Курскрезинотехника""";индекс 305018, город Курск, проспект Ленинского Комсомола;заочное голосование;29/05/2020;Принято решение не выплачивать дивиденды;КРТ;;Вопрос поднимался
"АО ""ТЕОДОР""";7716050573;1027739614;"Открытое акционерное общество ""Теодор""";"ОАО ""Теодор""";индекс 129329, None Москва, улица Кольская, дом 7;заочное голосование;27/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""КВЗ""";5048080483;1025006397;"Открытое акционерное общество ""Крюковский вентиляторный завод""";"ОАО ""КВЗ""";индекс 142324, область Московская, деревня Крюково, улица Заводская, дом 1;очное;27/05/2020;Принято решение не выплачивать дивиденды;ПрофБухКонсалтинг-А;;Вопрос поднимался
"АО ""ЗАВОД ""КРИЗО""";4705006552;1024701241;"ЗАВОД ""КРИЗО""";"АО ""ЗАВОД"" КРИЗО """;индекс 188304, город Гатчина, улица Железнодорожная, дом 43;заочное голосование;22/05/2020;Принято решение не выплачивать дивиденды;Аудиторско-консультационную группу ИНАУДИТ;;Вопрос поднимался
"ОАО "" Тулспецстрой""";7107003487;1027100969;"Открытое акционерное общество ""Тулспецстрой""";"ОАО ""Тулспецстрой""";город Тула, проспект Ленина, дом 21;заочное голосование;28/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"Банк ""Левобережный"" (ПАО)";5404154492;1025400000;"Новосибирский социальный коммерческий банк ""Левобережный"" ( публичное акционерное общество )";"Банк ""Левобережный"" ( ПАО )";город Новосибирск, улица Кирова;собрание;28/05/2020;Принято решение не выплачивать дивиденды;Левобережный;;Вопрос поднимался
ОАО «Вязниковский леспромхоз»;3312000587;1023302952;"Открытое акционерное общество ""Вязниковский леспромхоз""";"ОАО ""Вязниковский леспромхоз""";индекс 601442, страна Россия, область Владимирская, город Вязники, улица Державина, дом 45;очное;28/05/2020;Принято решение не выплачивать дивиденды;" Общества Общество с ограниченной ответственностью ""АУДИТСЕРВИС-КОВРОВ"" (ООО ""АУДИТСЕРВИС-КОВРОВ""). 2.7. Дата составления и номер протокола общего собрания акционеров: Протокол № 01/20 от 28 мая 2020 года. 2.8 Идентификационные признаки акций, владельцы которых имеют право на участие в общем собрании акционеров эмитента: Акции обыкновенные именные; Номер государственной регистрации: 28-1-П-160; Дата регистрации: 19.02.1993 год. Акции привилегированные именные типа А; Номер государственной регистрации: 28-1-П-160; Дата регистрации: 19.02.1993 год. 3. Подпись 3.1. Генеральный директор С.В. Дунаев 3.2. Дата 28.05.2020г";;Вопрос поднимался
"Публичное АО ""Азимут-Энерго""";6950036454;1156952012;"Публичное акционерное общество ""Азимут - Энерго""";"Публичное АО ""Азимут - Энерго""";индекс 170100, область Тверская, None Тверь, улица Желябова, дом 32, офис № 3;заочное голосование;25/05/2020;Принято решение не выплачивать дивиденды;Айрин Аудит Консалтинг;;Вопрос не поднимался
"АО ""ВолгаУралТранс""";6317023248;1026301416;"Акционерное общество ""Волжско - Уральская транспортная компания""";"АО ""ВолгаУралТранс""";индекс 443092, город Самара, переулок Кротовский;заочное голосование;27/05/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""СЭГЗ""";1827001683;1021800992;"Акционерное Общество ""Сарапульский Электрогенераторный Завод""";"АО ""СЭГЗ""";индекс 427961, страна Россия, республика Удмуртская, None Сарапул, улица Электрозаводская, дом 15;очное;28/05/2020;Принято решение выплачивать дивиденды;УРАЛ-АУДИТ;;Вопрос поднимался
"ОАО ""Автоколонна 1150""";3662003626;1023601608;"Открытое Акционерное общество ""Автоколонна 1150""";"ОАО ""Автоколонна 1150""";индекс 394026, город Воронеж, улица Краснодонская;очное;27/05/2020;Вопрос не поднимался;" Общество - ООО ""Межрегиональная консультационно-аудиторская палата""; местонахождение РФ 394006, г. Воронеж, ул. Красноармейская, д.17, кв.22: инн 3665020877: ОГРН 1023601559288. 2.7 Дата составления и номер протокола общего собрания акционеров:27 мая 2020 года, протокол №1. 2.8 Идентификационные признаки акций, владельцы которых имеют право на участие в общем собрании акционеров: акции обыкновенные именные бездокументарные государственный регистрационный номер выпуска №1-03-40973-А. 3. Подпись 3.1. Наименование должности, И.О. Фамилия уполномоченного лица эмитента: Генеральный директор Тарасов Иван Иосифович 3.2. Дата: 28.05.2020";;Вопрос не поднимался
"АО ПЗР ""Плескава""";6027014668;1026000966;"Акционерное общество ""Псковский завод радиодеталей"" Плескава """;"АО ПЗР ""Плескава""";индекс 180007, город Псков, улица М.Горького, дом 1;очное;28/05/2020;Принято решение не выплачивать дивиденды;Плескава;6027060030;Вопрос поднимался
"ООО ""ЛЕГЕНДА""";7840438730;1107847309;"Общество с ограниченной ответственностью ""ЛЕГЕНДА""";"ООО ""ЛЕГЕНДА""";индекс 196210, город Санкт-Петербург, улица Стартовая, дом 8, офис 307;очное;27/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Банк ""Санкт-Петербург""";7831000027;1027800000;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК"" САНКТ - ПЕТЕРБУРГ """;"ПАО ""Банк"" Санкт - Петербург """;город Санкт-Петербург;заочное голосование;27/05/2020;Принято решение не выплачивать дивиденды;Банк «Санкт-Петербург;;Вопрос не поднимался
"АО ""Экспобанк""";7729065633;1027739504;"Общество с ограниченной ответственностью ""Экспобанк""";"ООО ""Экспобанк""";индекс 107078, город Москва, улица Каланчевская, дом 29, строение None;заочное голосование;27/05/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ПАО ""Градиент-инвест""";6661038766;1026605241;"Открытое акционерное общество ""Градиент - инвест""";"ОАО ""Градиент - инвест""";индекс 620142, город Екатеринбург, улица Фрунзе, офис 1;заочное голосование;27/05/2020;Принято решение выплачивать дивиденды;Ваш партнер;;Вопрос поднимался
